DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
449,20120721,    1,    0,
449,20120722,    0,    0,
449,20120723,    0,    0,
449,20120724,    0,    0,
449,20120725,    0,    0,
449,20120726,    0,    0,
449,20120727,    0,    0,
449,20120728,   92,    0,
449,20120729,    0,    0,
449,20120730,  146,    0,
449,20120731,   57,    0,
449,20120801,   22,    0,
449,20120802,  103,    0,
449,20120803,   14,    0,
449,20120804,   17,    0,
449,20120805,    8,    0,
449,20120806,  221,    0,
449,20120807,   93,    0,
449,20120808,   22,    0,
449,20120809,   11,    0,
449,20120810,    0,    0,
449,20120811,    0,    0,
449,20120812,    0,    0,
449,20120813,    0,    0,
449,20120814,   11,    0,
449,20120815,    0,    0,
449,20120816,    1,    0,
449,20120817,    0,    0,
449,20120818,    0,    0,
449,20120819,    0,    0,
449,20120820,    0,    0,
449,20120821,    0,    0,
449,20120822,    0,    0,
449,20120823,    0,    0,
449,20120824,    0,    0,
449,20120825,   40,    0,
449,20120826,  207,    0,
449,20120827,   28,    0,
449,20120828,   14,    0,
449,20120829,    0,    0,
449,20120830,   10,    0,
449,20120831,  204,    0,
449,20120901,    7,    0,
449,20120902,    0,    0,
449,20120903,    0,    0,
449,20120904,    0,    0,
449,20120905,    0,    0,
449,20120906,    0,    0,
449,20120907,    0,    0,
449,20120908,    0,    0,
449,20120909,    0,    0,
449,20120910,    1,    0,
449,20120911,    2,    0,
449,20120912,    9,    0,
449,20120913,   38,    0,
449,20120914,    0,    0,
449,20120915,    8,    0,
449,20120916,    0,    0,
449,20120917,    0,    0,
449,20120918,   60,    0,
449,20120919,   69,    0,
449,20120920,   34,    0,
449,20120921,   12,    0,
449,20120922,   28,    0,
449,20120923,    0,    0,
449,20120924,  129,    0,
449,20120925,   99,    0,
449,20120926,    8,    0,
449,20120927,    1,    0,
449,20120928,   39,    0,
449,20120929,    5,    0,
449,20120930,    0,    0,
449,20121001,    0,    0,
449,20121002,   39,    0,
449,20121003,   27,    0,
449,20121004,  233,    0,
449,20121005,   83,    0,
449,20121006,  200,    0,
449,20121007,    6,    0,
449,20121008,    0,    0,
449,20121009,    0,    0,
449,20121010,    0,    0,
449,20121011,    0,    0,
449,20121012,   50,    0,
449,20121013,   73,    0,
449,20121014,  283,    0,
449,20121015,  175,    0,
449,20121016,   27,    0,
449,20121017,   16,    0,
449,20121018,   20,    0,
449,20121019,   89,    0,
449,20121020,    4,    0,
449,20121021,   46,    0,
449,20121022,    1,    0,
449,20121023,    0,    0,
449,20121024,    0,    0,
449,20121025,    0,    0,
449,20121026,    2,    0,
449,20121027,    0,    0,
449,20121028,    1,    0,
449,20121029,   34,    0,
449,20121030,  466,    0,
449,20121031,    4,    0,
449,20121101,    0,    0,
449,20121102,   65,    0,
449,20121103,   14,    0,
449,20121104,   16,    0,
449,20121105,  130,    0,
449,20121106,   42,    0,
449,20121107,  112,    0,
449,20121108,    1,    0,
449,20121109,    1,    0,
449,20121110,   14,    0,
449,20121111,   59,    0,
449,20121112,    2,    0,
449,20121113,   11,    0,
449,20121114,    0,    0,
449,20121115,    0,    0,
449,20121116,    0,    0,
449,20121117,    0,    0,
449,20121118,   38,    0,
449,20121119,    2,    0,
449,20121120,    1,    0,
449,20121121,    0,    0,
449,20121122,   11,    0,
449,20121123,   20,    0,
449,20121124,   33,    0,
449,20121125,   58,    0,
449,20121126,    6,    0,
449,20121127,    4,    0,
449,20121128,    4,    0,
449,20121129,   12,    0,
449,20121130,   17,    0,
449,20121201,   45,    0,
449,20121202,  136,    0,
449,20121203,   50,    0,
449,20121204,   30,    0,
449,20121205,   93,    0,
449,20121206,   43,  998,
449,20121207,  103,    3,
449,20121208,    2,  998,
449,20121209,   56,    0,
449,20121210,   71,    0,
449,20121211,    4,    0,
449,20121212,   18,    0,
449,20121213,    1,    0,
449,20121214,    0,    0,
449,20121215,   98,    0,
449,20121216,   19,    0,
449,20121217,   25,    0,
449,20121218,   73,    0,
449,20121219,    6,    0,
449,20121220,    0,    0,
449,20121221,   91,    0,
449,20121222,   10,    0,
449,20121223,  293,    0,
449,20121224,   13,    0,
449,20121225,   99,    0,
449,20121226,   57,    0,
449,20121227,   44,    0,
449,20121228,   39,    0,
449,20121229,   23,    0,
449,20121230,    4,    0,
449,20121231,    0,    0,
