DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
449,19520721,    0,     ,
449,19520722,    0,     ,
449,19520723,    0,     ,
449,19520724,    0,     ,
449,19520725,    0,     ,
449,19520726,    0,     ,
449,19520727,   12,     ,
449,19520728,   41,     ,
449,19520729,  189,     ,
449,19520730,   23,     ,
449,19520731,   20,     ,
449,19520801,    0,     ,
449,19520802,    2,     ,
449,19520803,   20,     ,
449,19520804,   60,     ,
449,19520805,    0,     ,
449,19520806,    0,     ,
449,19520807,    2,     ,
449,19520808,   80,     ,
449,19520809,    0,     ,
449,19520810,   41,     ,
449,19520811,   68,     ,
449,19520812,    3,     ,
449,19520813,    0,     ,
449,19520814,    0,     ,
449,19520815,    3,     ,
449,19520816,  111,     ,
449,19520817,   74,     ,
449,19520818,   20,     ,
449,19520819,   20,     ,
449,19520820,   72,     ,
449,19520821,  122,     ,
449,19520822,    0,     ,
449,19520823,    0,     ,
449,19520824,    0,     ,
449,19520825,    0,     ,
449,19520826,    0,     ,
449,19520827,    0,     ,
449,19520828,    0,     ,
449,19520829,    0,     ,
449,19520830,    0,     ,
449,19520831,    3,     ,
449,19520901,    0,     ,
449,19520902,    0,     ,
449,19520903,    0,     ,
449,19520904,   63,     ,
449,19520905,   35,     ,
449,19520906,   14,     ,
449,19520907,  153,     ,
449,19520908,   95,     ,
449,19520909,    3,     ,
449,19520910,  158,     ,
449,19520911,    0,     ,
449,19520912,    0,     ,
449,19520913,    0,     ,
449,19520914,    0,     ,
449,19520915,    0,     ,
449,19520916,    0,     ,
449,19520917,    0,     ,
449,19520918,   79,     ,
449,19520919,  146,     ,
449,19520920,  162,     ,
449,19520921,   58,     ,
449,19520922,   60,     ,
449,19520923,    3,     ,
449,19520924,    0,     ,
449,19520925,  130,     ,
449,19520926,   72,     ,
449,19520927,   41,     ,
449,19520928,  201,     ,
449,19520929,   54,     ,
449,19520930,   23,     ,
449,19521001,   83,     ,
449,19521002,  162,     ,
449,19521003,  245,     ,
449,19521004,    2,     ,
449,19521005,   20,     ,
449,19521006,    0,     ,
449,19521007,   34,     ,
449,19521008,   38,     ,
449,19521009,    0,     ,
449,19521010,   46,     ,
449,19521011,   11,     ,
449,19521012,   12,     ,
449,19521013,    0,     ,
449,19521014,  124,     ,
449,19521015,   10,     ,
449,19521016,   94,     ,
449,19521017,    1,     ,
449,19521018,    0,     ,
449,19521019,    0,     ,
449,19521020,    0,     ,
449,19521021,    0,     ,
449,19521022,    3,     ,
449,19521023,   29,     ,
449,19521024,    6,     ,
449,19521025,   35,     ,
449,19521026,   28,     ,
449,19521027,    3,     ,
449,19521028,    6,     ,
449,19521029,   43,     ,
449,19521030,   17,     ,
449,19521031,   55,     ,
449,19521101,    6,     ,
449,19521102,   62,     ,
449,19521103,  181,     ,
449,19521104,   33,     ,
449,19521105,   39,     ,
449,19521106,   18,     ,
449,19521107,  218,     ,
449,19521108,   48,     ,
449,19521109,  121,     ,
449,19521110,   46,     ,
449,19521111,  207,     ,
449,19521112,   37,     ,
449,19521113,   47,     ,
449,19521114,    1,     ,
449,19521115,    8,     ,
449,19521116,    5,     ,
449,19521117,   30,     ,
449,19521118,    0,     ,
449,19521119,    0,     ,
449,19521120,   17,     ,
449,19521121,    0,     ,
449,19521122,   30,     ,
449,19521123,    7,     ,
449,19521124,   53,     ,
449,19521125,    9,     ,
449,19521126,    0,     ,
449,19521127,    2,     ,
449,19521128,   89,     ,
449,19521129,    6,     ,
449,19521130,   34,     ,
449,19521201,    0,     ,
449,19521202,    0,     ,
449,19521203,   26,     ,
449,19521204,   28,     ,
449,19521205,    0,     ,
449,19521206,    5,     ,
449,19521207,    1,     ,
449,19521208,    1,     ,
449,19521209,    0,     ,
449,19521210,    1,     ,
449,19521211,   18,     ,
449,19521212,   24,     ,
449,19521213,   29,     ,
449,19521214,   32,     ,
449,19521215,   61,     ,
449,19521216,   44,     ,
449,19521217,  143,     ,
449,19521218,   78,     ,
449,19521219,   47,     ,
449,19521220,   66,     ,
449,19521221,   61,     ,
449,19521222,    1,     ,
449,19521223,   89,     ,
