Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 13/09/2013
TIME       : 11:46:27
FILENAME   : C:\Users\olivier.hoes\Desktop\maurits\CSV\c2086_130913114627_C2086.CSV
CREATED BY : SWS Diver-Office 3.2.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =..00-C2086  214.
  Instrument number       =                    
                          =0
  Location                =c2086
  Sample period           =S30
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    �C
  Range                   =100.00    �C


[Series settings]
  Serial number           =..00-C2086  214.
  Instrument number       =                    
  Location                =c2086
  Sample period           =00 00:00:30 0
  Sample method           =T   
  Start date / time       =00:00:08 13-09-13
  End date / time         =30:43:11 13-09-13
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    �C
  Range                   =100.00    �C


[Data]
448
Date/time;Pressure[cm];Temperature[�C]
2013/09/13 08:57:30;1118.3;16.26
2013/09/13 08:58:00;1118.5;16.25
2013/09/13 08:58:30;1118.3;16.25
2013/09/13 08:59:00;1118.3;16.25
2013/09/13 08:59:30;1118.5;16.25
2013/09/13 09:00:00;1118.5;16.26
2013/09/13 09:00:30;1118.5;16.27
2013/09/13 09:01:00;1118.5;16.27
2013/09/13 09:01:30;1118.5;16.27
2013/09/13 09:02:00;1118.7;16.27
2013/09/13 09:02:30;1118.7;16.27
2013/09/13 09:03:00;1118.7;16.28
2013/09/13 09:03:30;1118.7;16.27
2013/09/13 09:04:00;1118.7;16.27
2013/09/13 09:04:30;1118.7;16.27
2013/09/13 09:05:00;1118.8;16.27
2013/09/13 09:05:30;1118.7;16.27
2013/09/13 09:06:00;1118.8;16.27
2013/09/13 09:06:30;1118.8;16.27
2013/09/13 09:07:00;1118.7;16.27
2013/09/13 09:07:30;1118.8;16.27
2013/09/13 09:08:00;1118.8;16.26
2013/09/13 09:08:30;1118.8;16.26
2013/09/13 09:09:00;1118.8;16.26
2013/09/13 09:09:30;1118.8;16.26
2013/09/13 09:10:00;1118.8;16.27
2013/09/13 09:10:30;1119.0;16.28
2013/09/13 09:11:00;1119.0;16.29
2013/09/13 09:11:30;1119.0;16.30
2013/09/13 09:12:00;1119.1;16.31
2013/09/13 09:12:30;1119.3;16.31
2013/09/13 09:13:00;1119.1;16.30
2013/09/13 09:13:30;1119.0;16.30
2013/09/13 09:14:00;1119.3;16.31
2013/09/13 09:14:30;1119.1;16.30
2013/09/13 09:15:00;1119.3;16.31
2013/09/13 09:15:30;1119.5;16.31
2013/09/13 09:16:00;1119.3;16.30
2013/09/13 09:16:30;1119.1;16.30
2013/09/13 09:17:00;1119.3;16.30
2013/09/13 09:17:30;1119.5;16.31
2013/09/13 09:18:00;1119.5;16.31
2013/09/13 09:18:30;1119.3;16.30
2013/09/13 09:19:00;1119.3;16.30
2013/09/13 09:19:30;1119.3;16.30
2013/09/13 09:20:00;1119.3;16.30
2013/09/13 09:20:30;1119.5;16.31
2013/09/13 09:21:00;1119.5;16.30
2013/09/13 09:21:30;1119.7;16.31
2013/09/13 09:22:00;1119.7;16.31
2013/09/13 09:22:30;1119.7;16.31
2013/09/13 09:23:00;1119.5;16.30
2013/09/13 09:23:30;1119.5;16.30
2013/09/13 09:24:00;1119.5;16.29
2013/09/13 09:24:30;1119.5;16.29
2013/09/13 09:25:00;1119.7;16.29
2013/09/13 09:25:30;1119.7;16.29
2013/09/13 09:26:00;1119.7;16.29
2013/09/13 09:26:30;1119.8;16.29
2013/09/13 09:27:00;1119.8;16.29
2013/09/13 09:27:30;1119.8;16.29
2013/09/13 09:28:00;1119.8;16.30
2013/09/13 09:28:30;1120.0;16.30
2013/09/13 09:29:00;1119.8;16.29
2013/09/13 09:29:30;1120.0;16.29
2013/09/13 09:30:00;1120.0;16.29
2013/09/13 09:30:30;1120.0;16.30
2013/09/13 09:31:00;1120.0;16.30
2013/09/13 09:31:30;1120.0;16.30
2013/09/13 09:32:00;1120.0;16.30
2013/09/13 09:32:30;1119.0;16.31
2013/09/13 09:33:00;1119.3;16.31
2013/09/13 09:33:30;1118.7;16.31
2013/09/13 09:34:00;1118.0;16.34
2013/09/13 09:34:30;1117.2;16.37
2013/09/13 09:35:00;1116.5;16.39
2013/09/13 09:35:30;1115.9;16.40
2013/09/13 09:36:00;1115.5;16.41
2013/09/13 09:36:30;1114.8;16.41
2013/09/13 09:37:00;1114.3;16.41
2013/09/13 09:37:30;1113.4;16.42
2013/09/13 09:38:00;1113.1;16.41
2013/09/13 09:38:30;1112.4;16.42
2013/09/13 09:39:00;1111.9;16.42
2013/09/13 09:39:30;1111.4;16.43
2013/09/13 09:40:00;1110.7;16.42
2013/09/13 09:40:30;1110.2;16.43
2013/09/13 09:41:00;1109.7;16.43
2013/09/13 09:41:30;1109.2;16.43
2013/09/13 09:42:00;1108.8;16.43
2013/09/13 09:42:30;1108.1;16.43
2013/09/13 09:43:00;1107.7;16.43
2013/09/13 09:43:30;1107.1;16.44
2013/09/13 09:44:00;1106.5;16.44
2013/09/13 09:44:30;1106.0;16.44
2013/09/13 09:45:00;1105.5;16.44
2013/09/13 09:45:30;1105.2;16.44
2013/09/13 09:46:00;1104.7;16.44
2013/09/13 09:46:30;1104.2;16.43
2013/09/13 09:47:00;1103.7;16.43
2013/09/13 09:47:30;1103.2;16.43
2013/09/13 09:48:00;1102.7;16.43
2013/09/13 09:48:30;1102.2;16.43
2013/09/13 09:49:00;1101.6;16.43
2013/09/13 09:49:30;1101.2;16.43
2013/09/13 09:50:00;1100.6;16.43
2013/09/13 09:50:30;1100.3;16.43
2013/09/13 09:51:00;1099.8;16.44
2013/09/13 09:51:30;1099.3;16.44
2013/09/13 09:52:00;1099.0;16.44
2013/09/13 09:52:30;1098.5;16.44
2013/09/13 09:53:00;1098.0;16.44
2013/09/13 09:53:30;1097.7;16.44
2013/09/13 09:54:00;1097.0;16.44
2013/09/13 09:54:30;1096.7;16.45
2013/09/13 09:55:00;1096.3;16.45
2013/09/13 09:55:30;1096.0;16.45
2013/09/13 09:56:00;1095.5;16.45
2013/09/13 09:56:30;1095.0;16.45
2013/09/13 09:57:00;1094.7;16.45
2013/09/13 09:57:30;1094.3;16.45
2013/09/13 09:58:00;1093.8;16.45
2013/09/13 09:58:30;1093.4;16.45
2013/09/13 09:59:00;1093.0;16.45
2013/09/13 09:59:30;1092.8;16.45
2013/09/13 10:00:00;1092.5;16.45
2013/09/13 10:00:30;1092.0;16.45
2013/09/13 10:01:00;1091.7;16.45
2013/09/13 10:01:30;1091.4;16.45
2013/09/13 10:02:00;1090.8;16.46
2013/09/13 10:02:30;1090.4;16.46
2013/09/13 10:03:00;1090.0;16.47
2013/09/13 10:03:30;1089.7;16.46
2013/09/13 10:04:00;1089.4;16.47
2013/09/13 10:04:30;1089.0;16.47
2013/09/13 10:05:00;1088.7;16.47
2013/09/13 10:05:30;1088.4;16.48
2013/09/13 10:06:00;1087.9;16.47
2013/09/13 10:06:30;1087.7;16.47
2013/09/13 10:07:00;1087.2;16.47
2013/09/13 10:07:30;1087.1;16.47
2013/09/13 10:08:00;1086.7;16.47
2013/09/13 10:08:30;1086.4;16.47
2013/09/13 10:09:00;1086.1;16.47
